Vout	I1	R	I2	V1	V2	Itot	Log(Vout)	Log(Itot)	Pre-Set		Set		Return	
V	A	ohm	A	V	V	A	V	A	1.004721701	-5.072549439	3.088819614	-4.227175004	0.996596798	-2.239642653
0.00325	2.66E-08	122130.8642	-2.63E-08	0.00325	0	2.64522E-08	-2.488116639	-7.577538202	0.007537917	0.008791015	0.023374533	0.003055737	0.000235076	0.000144922
0.01275	1.03E-07	123455.5947	-1.06E-07	0.01275	0	1.04553E-07	-1.894489815	-6.980663501	0.998763209	0.016038287	0.996120982	0.020074631	0.999994269	0.001054065
0.0225	1.95E-07	115657.4483	-1.98E-07	0.0225	0	1.9617E-07	-1.647817482	-6.707367408	17765.96542	22	17462.21015	68	17973121.67	103
0.032	2.80E-07	114261.2297	-2.76E-07	0.032	0	2.7814E-07	-1.494850022	-6.55573655	4.569879781	0.005658986	7.037109937	0.027403374	19.96910123	0.000114439
0.0415	3.65E-07	113779.6787	-3.63E-07	0.0415	0	3.6365E-07	-1.381951903	-6.439316408						
0.05125	4.28E-07	119709.4273	-4.33E-07	0.05125	0	4.308E-07	-1.29030613	-6.365724305						
0.06075	5.16E-07	117787.343	-5.02E-07	0.06075	0	5.0876E-07	-1.216453718	-6.293487041						
0.0705	5.56E-07	126730.1816	-5.55E-07	0.0705	0	5.5583E-07	-1.151810883	-6.255058017						
0.08	6.35E-07	125948.55	-6.43E-07	0.08	0	6.3898E-07	-1.096910013	-6.194512735						
0.0895	7.21E-07	124112.4917	-7.36E-07	0.0895	0	7.2848E-07	-1.048176965	-6.137582367						
0.09925	8.19E-07	121213.9717	-8.06E-07	0.09925	0	8.1234E-07	-1.003269485	-6.090262161						
0.10875	8.83E-07	123137.3704	-8.96E-07	0.10875	0	8.8958E-07	-0.963570734	-6.05081499						
0.1185	9.85E-07	120358.3327	-9.87E-07	0.1185	0	9.8577E-07	-0.92628165	-6.006224403						
0.128	1.07E-06	119342.8683	-1.12E-06	0.128	0	1.09624E-06	-0.89279003	-5.960094355						
0.1375	1.10E-06	125456.2044	-1.09E-06	0.1375	0	0.000001093	-0.861697302	-5.961379838						
0.14725	1.18E-06	124566.4495	-1.17E-06	0.14725	0	1.17825E-06	-0.831944697	-5.928762552						
0.15675	1.26E-06	123932.6376	-1.26E-06	0.15675	0	1.2646E-06	-0.80479245	-5.898046823						
0.1665	1.38E-06	120312.1613	-1.38E-06	0.1665	0	1.37975E-06	-0.778585762	-5.860199597						
0.176	1.47E-06	119411.0862	-1.47E-06	0.176	0	0.000001474	-0.754487332	-5.831502516						
0.1855	1.61E-06	115324.8368	-1.59E-06	0.1855	0	1.60045E-06	-0.731656086	-5.795757889						
0.19525	1.72E-06	113702.539	-1.73E-06	0.19525	0	1.72135E-06	-0.709408957	-5.764130816						
0.20475	1.84E-06	111422.5076	-1.83E-06	0.20475	0	1.83615E-06	-0.68877609	-5.736091843						
0.2145	1.84E-06	116519.0939	-1.82E-06	0.2145	0	1.82965E-06	-0.668572703	-5.73763198						
0.224	1.94E-06	115648.717	-1.94E-06	0.224	0	0.000001939	-0.649751982	-5.712422191						
0.2335	2.10E-06	111222.254	-2.12E-06	0.2335	0	0.000002108	-0.631713115	-5.676129393						
0.24325	2.18E-06	111464.9682	-2.18E-06	0.24325	0	2.1828E-06	-0.613947151	-5.660986055						
0.25275	2.32E-06	108798.5881	-2.34E-06	0.25275	0	2.3299E-06	-0.597308836	-5.632662719						
0.2625	2.49E-06	105561.5876	-2.48E-06	0.2625	0	2.48175E-06	-0.580870692	-5.605241969						
0.272	2.61E-06	104358.5021	-2.59E-06	0.272	0	2.5985E-06	-0.565431096	-5.585277279						
0.2815	2.74E-06	102763.4797	-2.74E-06	0.2815	0	2.7389E-06	-0.550521601	-5.562423824						
0.29125	2.87E-06	101477.3004	-2.87E-06	0.29125	0	2.86935E-06	-0.535734066	-5.542216474						
0.30075	3.03E-06	99169.05728	-3.03E-06	0.30075	0	3.03195E-06	-0.521794364	-5.518277965						
0.3105	3.21E-06	96750.07011	-3.25E-06	0.3105	0	0.000003228	-0.507938395	-5.491066474						
0.32	3.38E-06	94571.03171	-3.35E-06	0.32	0	3.36765E-06	-0.494850022	-5.472673051						
0.3295	3.56E-06	92431.55296	-3.60E-06	0.3295	0	3.57995E-06	-0.482144581	-5.446123039						
